COUNTRY_CODE,COUNTRY_NAME,POPULATION,TOTAL_CASES,TOTAL_DEATHS,TOTAL_VACCINATIONS,ONE_DOSE_VACCINATED,FULLY_VACCINATED,FIRST_VACCINE_DATE,LAST_UPDATED_DATE,STRINGENCY_INDEX,URBANISATION_RATE,URBANISATION_YEARLY_CHANGE,GDP_PER_CAP,DENSITY,AVG_TEMPARATURE,PRECIPITATION,INFECTION_RATE_PER_1000,DEATHS_PER_1000,TOTAL_VACCINATIONS_PER_1000,OECD_COUNTRY
BGR,Bulgaria,6919180,540619,22274,2584930,1426913,1158017,2020-12-30,2021-10-10,47.22,76,-0.28,23174,62.4,13.98,1.85,78.13,3.22,374,No
LKA,Sri Lanka,23044123,531648,13484,27285321,14731502,12553819,2021-01-29,2021-10-12,63.89,18.9,1.22,13078,351.23,26.15,4.06,23.07,0.59,1184,No
ECU,Ecuador,17093159,512071,32848,21297504,11670616,10412950,2021-01-21,2021-10-15,58.8,64.4,1.62,11375,60.28,20.95,6.35,29.96,1.92,1246,No
BOL,Bolivia (Plurinational State of),11758869,505157,18811,6931689,4357421,4357256,2021-01-30,2021-10-08,31.02,70.5,1.87,8724,10.7,23.19,8.82,42.96,1.6,589,No
AZE,Azerbaijan,10282283,502207,6765,8646806,4782922,3863884,2021-01-20,2021-10-10,60.19,56.8,1.38,14404,118.73,17.33,10.95,48.84,0.66,841,No
MMR,Myanmar,57069099,487853,18359,12172772,8060065,4112707,2021-01-27,2021-10-02,71.3,31.4,1.85,5142,84.35,28.48,17.67,8.55,0.32,213,No
PAN,Panama,3928646,469569,7275,5630863,3015469,2610560,2021-01-20,2021-10-15,72.69,68.8,1.92,31459,52.09,NA,NA,119.52,1.85,1433,No
PRY,Paraguay,7272639,460277,16207,4926677,2868610,2058067,2021-02-22,2021-10-15,35.19,62.5,1.64,12685,17.88,22.04,8.53,63.29,2.23,677,No
PSE,"occupied Palestinian territory, including east Jerusalem",1957062,448322,4585,NA,NA,NA,NA,NA,47.22,77,2.85,6220,5436.28,NA,NA,229.08,2.34,NA,No
SVK,Slovakia,5436066,437938,12854,4744851,2451348,2293503,2021-01-06,2021-10-10,34.72,53.8,0.17,32730,110.86,11.12,2.67,80.56,2.36,873,Yes
HRV,Croatia,4208973,427914,8896,3488309,1848985,1634415,2020-12-23,2021-10-10,35.19,57.9,0.05,28602,74.37,16.01,2.37,101.67,2.11,829,No
IRL,Ireland,5224884,415114,5306,7255783,3780945,3474838,2020-12-30,2021-10-10,44.44,63.9,1.15,86781,74.35,10.63,3.15,79.45,1.02,1389,Yes
KWT,Kuwait,3032065,412332,2457,2380000,NA,NA,2020-12-28,2021-08-04,40.74,100,1.35,49854,170.17,29.55,0.42,135.99,0.81,785,No
URY,Uruguay,3398239,390394,6065,6460639,2749431,2602781,2021-02-27,2021-10-15,55.56,95.6,0.4,21561,19.28,17.68,3.56,114.88,1.78,1901,No
VEN,Venezuela (Bolivarian Republic of),29069153,387393,4667,16127242,9926613,6190629,2021-02-22,2021-10-15,80.56,88.3,1.16,7704,31.87,NA,NA,13.33,0.16,555,No
HND,Honduras,9346277,371431,10065,6058428,3520903,2538275,2021-02-26,2021-10-15,82.41,59,2.48,5728,83.38,26.55,3.27,39.74,1.08,648,No
LTU,Lithuania,2711566,370119,5456,3232599,1766456,1462903,2020-12-23,2021-10-10,25.93,68.2,-0.12,37231,41.52,9.2,3.65,136.5,2.01,1192,Yes
DNK,Denmark,5894687,368651,2685,8845099,4481058,4364041,2020-12-30,2021-10-10,24.07,88.2,0.54,57804,136.79,9.25,2.24,62.54,0.46,1501,Yes
DOM,Dominican Republic,10597348,368131,4082,12363423,6234415,5050180,2021-02-16,2021-10-15,65.74,83.2,1.64,18413,217.74,27.08,5.14,34.74,0.39,1167,No
ETH,Ethiopia,110871031,359247,6217,4007643,2047695,1959948,2021-03-13,2021-10-17,43.52,22.2,4.4,2221,100.4,20.77,8.84,3.24,0.06,36,No
LBY,Libya,7017224,349990,4883,1799014,1467363,331651,2021-04-11,2021-10-17,44.44,81,1.45,15174,3.99,24.57,2.29,49.88,0.7,256,No
KOR,Republic of Korea,51715162,343445,2668,68888152,39920919,30426399,2021-02-26,2021-10-11,47.22,81.4,0.31,42765,518.6,15.97,11.86,6.64,0.05,1332,Yes
MNG,Mongolia,3198913,332225,1454,4718157,2252452,2132904,2021-02-23,2021-10-08,37.04,68.8,1.4,12317,2.05,4.81,6.93,103.86,0.45,1475,No
EGY,Egypt,106437241,318456,17970,20154366,13552189,6602177,2021-01-24,2021-10-08,43.52,42.9,1.9,11763,106.28,24.5,10.3,2.99,0.17,189,No
MDA,Republic of Moldova,3323875,316529,7241,1434879,844032,590847,2021-03-03,2021-10-10,25.93,43,0.09,13050,98.19,11.48,7.63,95.23,2.18,432,No
SVN,Slovenia,2102106,308136,4992,2048060,1134622,913438,2020-12-23,2021-10-10,35.19,55.4,0.54,39088,103.69,6.7,3.44,146.58,2.37,974,Yes
OMN,Oman,3694755,304054,4105,5271912,2962504,2309408,2020-12-29,2021-10-10,37.96,87,2.32,27299,11.94,29.6,1.49,82.29,1.11,1427,No
ARM,Armenia,3011609,283183,5805,546554,375215,171339,2021-06-16,2021-10-10,NA,63.4,0.23,13654,101.25,10.8,3.05,94.03,1.93,181,No
BHR,Bahrain,1526929,276118,1391,2708159,1171032,1133745,2020-11-04,2021-10-17,43.52,89.6,1.99,45011,2009.12,29.57,0.07,180.83,0.91,1774,No
KEN,Kenya,54685051,252033,5223,4500179,3291192,1208987,2021-03-05,2021-10-16,54.17,28.5,4.09,4330,94.22,24.23,5.95,4.61,0.1,82,No
BIH,Bosnia and Herzegovina,3824782,244812,11157,1242203,734195,508001,NA,2021-09-29,35.19,49.4,0.61,14912,74.71,13.98,2.78,64.01,2.92,325,No
QAT,Qatar,2479995,237929,608,4793618,2134729,1816789,2020-12-23,2021-10-18,55.56,99.3,1.66,90044,214.05,30.44,0,95.94,0.25,1933,No
ZMB,Zambia,19077816,209521,3658,757182,319778,429062,2021-04-14,2021-10-05,21.3,45.2,4.15,3470,25.35,NA,NA,10.98,0.19,40,No
NGA,Nigeria,219463862,209298,2837,7676012,5196052,2479960,2021-03-05,2021-10-12,50.93,52.7,3.92,5136,237.57,27.55,15.61,0.95,0.01,35,No
DZA,Algeria,43576691,205286,5872,10925049,6287679,4637370,2021-01-30,2021-10-13,56.48,74.3,1.99,11511,18.3,22.94,0.78,4.71,0.13,251,No
NOR,Norway,5509591,196348,884,7872737,4183549,3689188,2020-12-23,2021-10-10,20.37,83.3,1.32,63633,17.02,5.59,2.38,35.64,0.16,1429,Yes
LVA,Latvia,1862687,185616,2890,1617986,906378,711608,2020-12-30,2021-10-03,47.22,68.4,-0.68,30898,28.84,10.09,2.42,99.65,1.55,869,Yes
PRI,Puerto Rico,3142779,182942,3201,4809093,2646177,2430842,NA,2021-10-15,23.15,93.6,-0.12,34518,345.21,NA,3.85,58.21,1.02,1530,No
BWA,Botswana,2350667,181856,2386,633286,584504,359856,2021-03-26,2021-10-14,62.04,71.6,2.47,17767,4.04,21.32,5.54,77.36,1.02,269,No
UZB,Uzbekistan,30842796,181312,1290,19831496,10422560,6615394,2021-04-28,2021-10-10,48.15,50.4,1.25,6999,68.94,18.65,5.01,5.88,0.04,643,No
KGZ,Kyrgyzstan,6018789,179913,2636,1455373,832440,622933,2021-03-31,2021-10-10,50.93,37.1,2.05,5253,30.1,11.08,14.78,29.89,0.44,242,No
ALB,Albania,3088385,177971,2820,1796093,960084,836009,2021-01-13,2021-10-10,41.67,63,1.29,13965,107.43,NA,NA,57.63,0.91,582,No
EST,Estonia,1220042,173335,1429,1425113,759737,665376,2020-12-23,2021-10-10,27.78,69.4,-0.03,36927,26.98,8.49,1.12,142.07,1.17,1168,Yes
AFG,Afghanistan,37466414,155763,7243,2566925,847189,1719736,2021-02-22,2021-10-17,35.19,26.3,3.34,2065,57.44,19.3,3.32,4.16,0.19,69,No
FIN,Finland,5587442,151207,1120,7788689,4163606,3625083,2020-12-23,2021-10-10,24.07,85.6,0.42,48668,16.52,5.37,1.49,27.06,0.2,1394,Yes
MOZ,Mozambique,30888034,151102,1926,3782029,1973519,1808510,2021-03-08,2021-10-15,48.15,37.6,4.24,1281,38.64,23.64,7.08,4.89,0.06,122,No
SGP,Singapore,5866139,148178,233,9401855,4599302,4538549,2020-12-30,2021-10-09,50.93,100,0.74,97341,8158.75,27.78,8.33,25.26,0.04,1603,No
AUS,Australia,25809973,143135,1531,30540757,17593798,12883681,2021-02-21,2021-10-02,74.54,86.4,1.27,49854,3.33,18.1,2.43,5.55,0.06,1183,Yes
MNE,Montenegro,607414,137748,2020,446006,244932,201074,2021-02-24,2021-10-10,NA,67.8,0.45,21470,43.98,16.53,4.8,226.78,3.33,734,No
ZWE,Zimbabwe,14829988,132368,4658,5580902,3171698,2409204,2021-02-18,2021-10-11,47.22,32.3,2.41,2836,37.95,NA,NA,8.93,0.31,376,No
GHA,Ghana,32372889,129440,1167,1623582,865422,758160,2021-03-02,2021-09-20,40.74,58,3.06,5413,135.72,28.34,7.28,4,0.04,50,No
"NAM",Namibia,2678191,128304,3538,584381,285745,208661,2021-03-19,2021-10-11,36.11,53,3.64,9637,3.25,19.68,6.59,47.91,1.32,218,No
UGA,Uganda,44712143,125261,3185,2378171,1794105,584066,2021-03-10,2021-10-11,75.93,25.6,5.41,2187,185.5,NA,NA,2.8,0.07,53,No
CHN,China,1397897720,125254,5695,2228305003,1154905147,1014573856,2020-07-22,2021-10-08,76.39,62.5,1.78,16117,145.66,14.29,2.73,0.09,0,1594,No
CYP,Cyprus,1281506,122362,562,1157846,598680,559166,2020-12-23,2021-10-10,40.74,66.9,0.76,39545,138.53,21.98,0.27,95.48,0.44,904,No
KHM,Cambodia,17304363,116665,2658,22690976,11680387,11150943,2021-02-10,2021-10-08,69.44,24.7,3.06,4389,95.59,28.95,7.75,6.74,0.15,1311,No
SLV,El Salvador,6528135,107664,3435,8096778,4227768,3588788,2021-02-17,2021-10-15,22.22,74.1,1.33,8776,310.26,28.27,7.65,16.49,0.53,1240,No
RWA,Rwanda,12943132,99143,1313,3818338,3033940,1725362,2021-02-14,2021-10-18,51.85,17.6,3.07,2227,491.42,21.19,10.47,7.66,0.1,295,No
CMR,Cameroon,28524175,98402,1550,481985,397608,142770,2021-04-12,2021-10-14,44.44,58.1,3.43,3642,60,28.3,11.04,3.45,0.05,17,No
JAM,Jamaica,2816602,86722,2059,852062,557884,368016,2021-03-10,2021-10-15,77.78,56.7,0.79,9762,256.26,27.73,2.28,30.79,0.73,303,No
MDV,Maldives,390669,86165,238,740902,393344,347558,2021-02-01,2021-10-11,NA,41.1,2.34,19531,1310.97,29.3,0.64,220.56,0.61,1896,No
LUX,Luxembourg,639589,79720,839,771490,410678,360812,2020-12-30,2021-10-10,37.96,91.7,1.43,114482,247.33,10.7,3.61,124.64,1.31,1206,Yes
SEN,Senegal,16082442,73866,1871,1959198,1280390,877598,2021-02-23,2021-10-18,21.3,48.6,3.59,3395,81.75,28.92,11.75,4.59,0.12,122,No
AGO,Angola,33642646,62842,1664,5224697,3787300,1437397,2021-03-10,2021-10-18,54.63,67.5,4.04,6670,26.99,24.74,12.4,1.87,0.05,155,No
MWI,Malawi,20308502,61716,2292,1198689,881958,518717,2021-03-11,2021-10-17,37.04,17.7,4.41,1060,171.4,23.56,2.4,3.04,0.11,59,No
CIV,Côte d’Ivoire,28088455,61038,682,2762147,2060675,701472,2021-03-01,2021-10-15,17.59,52.2,3.38,5213,87.11,26.7,8.65,2.17,0.02,98,No
COD,Democratic Republic of the Congo,105044646,57338,1091,140254,102610,37644,2021-04-19,2021-10-12,37.96,46.2,4.33,1098,44.8,24.72,10.68,0.55,0.01,1,No
TTO,Trinidad and Tobago,1221047,53216,1572,1165204,633915,588351,2021-02-17,2021-10-15,69.44,53.3,0.23,26176,238.11,26.68,5.1,43.58,1.29,954,No
