"","country","urbanisation_rate","urbanisation_yearly_change","gdp_per_cap","size","population","density","country_code"
"155","Pakistan","37.4","2.1",4690,796095,238181034,299.19,"PAK"
"156","Palau","81.5","1.59",17579,459,21613,47.09,"PLW"
"157","Panama","68.8","1.92",31459,75420,3928646,52.09,"PAN"
"158","Papua New Guinea","13.5","2.91",4355,462840,7399757,15.99,"PNG"
"159","Paraguay","62.5","1.64",12685,406752,7272639,17.88,"PRY"
"160","Peru","78.3","1.33",12848,1285216,32201224,25.06,"PER"
"161","Philippines","47.7","2.04",8908,3e+05,110818325,369.39,"PHL"
"162","Poland","60.1","-0.16",33221,312685,38185913,122.12,"POL"
"163","Portugal","66.8","0.44",34894,92090,10263850,111.45,"PRT"
"164","Puerto Rico","93.6","-0.12",34518,9104,3142779,345.21,"PRI"
"165","Qatar","99.3","1.66",90044,11586,2479995,214.05,"QAT"
"166","Romania","54.3","-0.15",29941,238391,21230362,89.06,"ROU"
"167","Russia","74.9","0.11",27044,17098242,142320790,8.32,"RUS"
"168","Rwanda","17.6","3.07",2227,26338,12943132,491.42,"RWA"
"169","Saint Helena, Ascension, and Tristan da Cunha","40.3","0.98",7800,394,7915,20.09,"SHN"
"170","Saint Kitts and Nevis","30.9","1.06",26438,261,54149,207.47,"KNA"
"171","Saint Lucia","18.9","0.98",15449,616,166637,270.51,"LCA"
"172","Saint Pierre and Miquelon","90","0.75",46200,242,5321,21.99,"SPM"
"173","Saint Vincent and the Grenadines","53.5","0.94",12485,389,101145,260.01,"VCT"
"174","Samoa","17.7","-0.03",6521,2831,204898,72.38,"WSM"
"175","San Marino","97.6","0.41",59439,61,34467,565.03,"SMR"
"176","Sao Tome and Principe","75.1","2.96",3970,964,213948,221.94,"STP"
"177","Saudi Arabia","84.5","1.69",46962,2149690,34783757,16.18,"SAU"
"178","Senegal","48.6","3.59",3395,196722,16082442,81.75,"SEN"
"179","Serbia","56.7","0.04",18233,77474,6974289,90.02,"SRB"
"180","Seychelles","58","0.99",29223,455,96387,211.84,"SYC"
"181","Sierra Leone","43.4","3.02",1718,71740,6807277,94.89,"SLE"
"182","Singapore","100","0.74",97341,719,5866139,8158.75,"SGP"
"183","Sint Maarten","100","1.16",35342,34,44564,1310.71,"SXM"
"184","Slovakia","53.8","0.17",32730,49035,5436066,110.86,"SVK"
"185","Slovenia","55.4","0.54",39088,20273,2102106,103.69,"SVN"
"186","Solomon Islands","25.1","3.57",2663,28896,690598,23.9,"SLB"
"187","South Africa","67.8","1.72",12482,1219090,56978635,46.74,"ZAF"
"188","South Sudan","20.5","4.12",1600,644329,10984074,17.05,"SSD"
"189","Spain","81.1","0.24",40903,505370,47260584,93.52,"ESP"
"190","Sri Lanka","18.9","1.22",13078,65610,23044123,351.23,"LKA"
"191","Sudan","35.6","3.43",3958,1861484,46751152,25.11,"SDN"
"192","Suriname","66.2","0.88",16525,163820,614749,3.75,"SUR"
"193","Sweden","88.2","0.89",53240,450295,10261767,22.79,"SWE"
"194","Switzerland","74","0.79",68628,41277,8453550,204.8,"CHE"
"195","Syria","56.1","5.38",2900,187437,20384316,108.75,"SYR"
"196","Taiwan","79.3","0.65",24502,35980,23572052,655.14,"TWN"
"197","Tajikistan","27.7","2.73",3380,144100,8990874,62.39,"TJK"
"198","Tanzania","36","4.89",2660,947300,62092761,65.55,"TZA"
"199","Thailand","52.2","1.43",18460,513120,69480520,135.41,"THA"
"200","Timor-Leste","31.7","3.31",3553,14874,1413958,95.06,"TLS"
"201","Togo","43.4","3.6",1597,56785,8283189,145.87,"TGO"
"202","Tokelau","0","0",6004,12,1647,137.25,"TKL"
"203","Tonga","23.1","0.99",6383,747,105780,141.61,"TON"
"204","Trinidad and Tobago","53.3","0.23",26176,5128,1221047,238.11,"TTO"
"205","Tunisia","69.9","1.34",10756,163610,11811335,72.19,"TUN"
"206","Turkey","76.6","1.11",28424,783562,82482383,105.27,"TUR"
"207","Turkmenistan","53","2.23",14845,488100,5579889,11.43,"TKM"
"208","Turks and Caicos Islands","93.8","1.46",29253,948,57196,60.33,"TCA"
"209","Tuvalu","64.8","2.08",4281,26,11448,440.31,"TUV"
