country_code,country_name,population,total_cases,total_deaths,total_vaccinations,vaccinated_1dose,fully_vacccinated,first_vaccine_date,last_updated_date,stringency_index,urbanisation_rate,urbanisation_yearly_change,gdp_per_cap,density,tavg,prcp,Infection_Rate_per_100,Deaths_per_10000,total_vaccinations_per_100
DZA,Algeria,43576691,204597,5853,10551917,6164959,4386958,2021-01-30,2021-10-09,92.13,74.3,1.99,11511,18.3,22.938115330520365,0.7833751943547389,0.47,1.34,24
NOR,Norway,5509591,192583,871,7760988,4132504,3628484,2020-12-23,2021-09-26,79.63,83.3,1.32,63633,17.02,5.5864748972664,2.3771128735081137,3.5,1.58,145
PRI,Puerto Rico,3142779,182144,3182,4750358,2604974,2278912,NA,2021-10-08,93.52,93.6,-0.12,34518,345.21,NA,3.8532841328415968,5.8,10.12,166
BWA,Botswana,2350667,180438,2376,584504,584504,355218,2021-03-26,2021-10-09,86.11,71.6,2.47,17767,4.04,21.322723091076377,5.541481481481485,7.68,10.11,25
KGZ,Kyrgyzstan,6018789,179336,2620,1397517,800185,597332,2021-03-31,2021-10-03,92.13,37.1,2.05,5253,30.1,11.077417818008563,14.775619834710769,2.98,4.35,21
UZB,Uzbekistan,30842796,178637,1271,18432888,9820900,6223566,2021-04-28,2021-10-03,93.52,50.4,1.25,6999,68.94,18.649769503546043,5.007751937984491,0.58,0.41,55
ALB,Albania,3088385,174968,2768,1755966,947974,807992,2021-01-13,2021-10-03,89.81,63,1.29,13965,107.43,NA,NA,5.67,8.96,61
LVA,Latvia,1862687,171276,2801,1576320,878478,697842,2020-12-30,2021-09-26,69.44,68.4,-0.68,30898,28.84,10.093301997649839,2.4215892053973036,9.2,15.04,83
EST,Estonia,1220042,165345,1400,1411868,754946,656922,2020-12-23,2021-10-03,77.78,69.4,-0.03,36927,26.98,8.49291101055807,1.1189655172413868,13.55,11.48,106
AFG,Afghanistan,37466414,155509,7226,2491952,846659,1645293,2021-02-22,2021-10-10,84.26,26.3,3.34,2065,57.44,19.302188183807427,3.32,0.42,1.93,6
MOZ,Mozambique,30888034,150985,1922,3677063,1903730,1773333,2021-03-08,2021-10-08,80.56,37.6,4.24,1281,38.64,23.639025093740944,7.078828365878711,0.49,0.62,12
FIN,Finland,5587442,147297,1097,7665774,4145083,3520691,2020-12-23,2021-10-03,71.3,85.6,0.42,48668,16.52,5.36519687162892,1.4903626570915651,2.64,1.96,139
MNE,Montenegro,607414,135278,1983,434368,241044,193324,2021-02-24,2021-10-03,NA,67.8,0.45,21470,43.98,16.53369047619049,4.799835255354214,22.27,32.65,69
ZWE,Zimbabwe,14829988,131796,4637,5440757,3117895,2322862,2021-02-18,2021-10-05,87.96,32.3,2.41,2836,37.95,NA,NA,0.89,3.13,37
GHA,Ghana,32372889,128368,1158,1623582,865422,758160,2021-03-02,2021-09-20,86.11,58,3.06,5413,135.72,28.34181352130728,7.2775537634408725,0.4,0.36,5
"NAM",Namibia,2678191,128070,3524,445142,258344,193156,2021-03-19,2021-10-05,87.04,53,3.64,9637,3.25,19.68402136959687,6.594708994708998,4.78,13.16,18
AUS,Australia,25809973,127454,1432,28630736,16882622,11689936,2021-02-21,2021-10-02,78.24,86.4,1.27,49854,3.33,18.104097345132764,2.42917286559229,0.49,0.55,112
SGP,Singapore,5866139,126966,162,9235990,4594688,4490834,2020-12-30,2021-10-02,82.41,100,0.74,97341,8158.75,27.78371212121213,8.328853754940726,2.16,0.28,158
CHN,China,1397897720,125055,5695,2221558243,1154856151,1014495492,2020-07-22,2021-10-01,91.67,62.5,1.78,16117,145.66,14.290879644793876,2.7258004157998954,0.01,0.04,151
UGA,Uganda,44712143,124736,3177,2200321,1631481,568840,2021-03-10,2021-09-17,93.52,25.6,5.41,2187,185.5,NA,NA,0.28,0.71,5
CYP,Cyprus,1281506,121364,558,1115968,577922,538046,2020-12-23,2021-10-03,94.44,66.9,0.76,39545,138.53,21.977272727272723,0.267479674796748,9.47,4.35,126
KHM,Cambodia,17304363,114810,2506,22627199,11673346,11105097,2021-02-10,2021-10-01,73.15,24.7,3.06,4389,95.59,28.953787878787868,7.75,0.66,1.45,135
SLV,El Salvador,6528135,107664,3345,7891779,4173627,3544315,2021-02-17,2021-10-08,100,74.1,1.33,8776,310.26,28.268451242829798,7.645859872611467,1.65,5.12,122
RWA,Rwanda,12943132,98697,1307,3818338,2137486,1691938,2021-02-14,2021-10-08,90.74,17.6,3.07,2227,491.42,21.187937743190645,10.466972477064218,0.76,1.01,29
CMR,Cameroon,28524175,95399,1517,476512,391795,84717,2021-04-12,2021-10-06,71.3,58.1,3.43,3642,60,28.29616977225671,11.041142857142868,0.33,0.53,2
MDV,Maldives,390669,85548,234,735018,392681,342337,2021-02-01,2021-10-04,NA,41.1,2.34,19531,1310.97,29.2962121212121,0.6436734693877559,21.9,5.99,136
JAM,Jamaica,2816602,85475,1964,809234,543977,296928,2021-03-10,2021-10-08,88.89,56.7,0.79,9762,256.26,27.730871212121208,2.283030303030301,3.03,6.97,27
LUX,Luxembourg,639589,79018,836,720795,384039,336756,2020-12-30,2021-10-03,79.63,91.7,1.43,114482,247.33,10.703396226415093,3.6149350649350644,12.35,13.07,115
SEN,Senegal,16082442,73837,1868,1821218,1268640,863081,2021-02-23,2021-10-08,77.78,48.6,3.59,3395,81.75,28.916577202399793,11.750000000000004,0.46,1.16,11
MWI,Malawi,20308502,61676,2290,1167063,854224,508367,2021-03-11,2021-10-10,64.81,17.7,4.41,1060,171.4,23.561538461538458,2.4000000000000004,0.3,1.13,6
AGO,Angola,33642646,61378,1622,4074677,2863708,1210969,2021-03-10,2021-10-08,90.74,67.5,4.04,6670,26.99,24.7369863013699,12.404000000000002,0.18,0.48,12
CIV,Côte d’Ivoire,28088455,60819,666,2490820,1921801,569019,2021-03-01,2021-10-06,80.56,52.2,3.38,5213,87.11,26.704314789687924,8.647050659264346,0.22,0.24,9
COD,Democratic Republic of the Congo,105044646,57247,1087,140254,102610,37644,2021-04-19,2021-10-08,80.56,46.2,4.33,1098,44.8,24.71871101871104,10.683076923076921,0.05,0.1,0
TTO,Trinidad and Tobago,1221047,51813,1522,1121521,613170,531161,2021-02-17,2021-10-08,92.59,53.3,0.23,26176,238.11,26.67865168539325,5.095219123505972,4.24,12.46,80
FJI,Fiji,939535,51499,653,1071119,611038,460081,2021-03-07,2021-10-02,88.89,57.7,1.37,13684,51.41,25.596213425129132,7.70527256478998,5.48,6.95,119
SWZ,Eswatini,1113276,46276,1227,258552,227080,219736,2021-03-19,2021-10-10,89.81,24.4,2.42,8622,64.11,NA,NA,4.16,11.02,22
PYF,French Polynesia,297154,45359,626,296738,153575,143163,2021-01-18,2021-10-05,NA,62.1,0.65,17000,71.31,25.17535341118621,3.175065616797902,15.26,21.07,106
MDG,Madagascar,27534354,43610,960,443159,197001,246158,2021-05-10,2021-10-01,95.37,39.2,4.26,1647,46.9,24.003806934058364,9.440755310778862,0.16,0.35,2
SUR,Suriname,614749,43409,936,412588,235011,177577,2021-02-23,2021-10-08,100,66.2,0.88,16525,3.75,26.120833333333316,8.866666666666669,7.06,15.23,70
SDN,Sudan,46751152,38827,2953,1817885,458388,882375,2021-03-09,2021-10-04,87.04,35.6,3.43,3958,25.11,NA,NA,0.08,0.63,4
CPV,Cabo Verde,589451,37888,346,460484,291055,166158,2021-03-18,2021-10-09,87.96,67.1,1.83,7172,146.16,23.903549382716054,8.70526315789474,6.43,5.87,83
MLT,Malta,460891,37347,459,799046,416819,382227,2020-12-23,2021-10-03,87.04,94.8,0.28,44032,1458.52,20.627272727272707,0.35319148936170236,8.1,9.96,155
SYR,Syrian Arab Republic,20384316,36953,2341,811852,613263,321276,2021-04-01,2021-09-29,87.04,56.1,5.38,2900,108.75,22.109866392600203,6.547826086956525,0.18,1.15,5
MRT,Mauritania,4079284,36414,785,908933,326775,582158,2021-03-26,2021-10-07,77.78,56.1,3.84,5197,3.96,23.66438095238092,1.3181818181818181,0.89,1.92,20
GUY,Guyana,787971,32951,816,583394,365274,218120,2021-02-11,2021-10-08,87.04,26.9,1.01,13082,3.67,26.6639896373057,9.859550561797755,4.18,10.36,74
